Newton's Method >>>>>>>>>>>>>
j; 1000; i; -8.500000000000002; temp; -8.500000000000002; !!!FAIL
j; 1000; i; -8.400000000000002; temp; -8.400000000000002; !!!FAIL
j; 1000; i; -8.300000000000002; temp; -8.300000000000002; !!!FAIL
j; 1000; i; -8.200000000000003; temp; -8.200000000000003; !!!FAIL
j; 1000; i; -8.100000000000003; temp; -8.100000000000003; !!!FAIL
j; 1000; i; -8.000000000000004; temp; -8.000000000000004; !!!FAIL
j; 1000; i; -7.9; temp; -7.9; !!!FAIL
j; 1000; i; -7.800000000000001; temp; -7.800000000000001; !!!FAIL
j; 1000; i; -7.700000000000001; temp; -7.700000000000001; !!!FAIL
j; 1000; i; -7.600000000000001; temp; -7.600000000000001; !!!FAIL
j; 1000; i; -7.500000000000002; temp; -7.500000000000002; !!!FAIL
j; 1000; i; -7.400000000000002; temp; -7.400000000000002; !!!FAIL
j; 1000; i; -7.3000000000000025; temp; -7.3000000000000025; !!!FAIL
j; 1000; i; -7.200000000000003; temp; -7.200000000000003; !!!FAIL
j; 1000; i; -7.100000000000003; temp; -7.100000000000003; !!!FAIL
j; 1000; i; -7.0000000000000036; temp; -7.0000000000000036; !!!FAIL
j; 1000; i; -6.9; temp; -6.9; !!!FAIL
j; 1000; i; -6.800000000000001; temp; -6.800000000000001; !!!FAIL
j; 1000; i; -6.700000000000001; temp; -6.700000000000001; !!!FAIL
j; 1000; i; -6.600000000000001; temp; -6.600000000000001; !!!FAIL
j; 1000; i; -6.500000000000002; temp; -6.500000000000002; !!!FAIL
j; 1000; i; -6.400000000000002; temp; -6.400000000000002; !!!FAIL
j; 1000; i; -6.3000000000000025; temp; -6.3000000000000025; !!!FAIL
j; 1000; i; -6.200000000000003; temp; -6.200000000000003; !!!FAIL
j; 1000; i; -6.100000000000003; temp; -6.100000000000003; !!!FAIL
j; 1000; i; -6.0000000000000036; temp; -6.0000000000000036; !!!FAIL
j; 1000; i; -5.9; temp; -5.9; !!!FAIL
j; 1000; i; -5.800000000000001; temp; -5.800000000000001; !!!FAIL
